@relation BOOKKEEPER_TRAINING_2.arff
@attribute SIZE numeric
@attribute LOC_ADDED numeric
@attribute MAX_LOC_ADDED numeric
@attribute AVG_LOC_ADDED numeric
@attribute LOC_DELETED numeric
@attribute MAX_LOC_DELETED numeric
@attribute AVG_LOC_DELETED numeric
@attribute CHURN numeric
@attribute MAX_CHURN numeric
@attribute AVG_CHURN numeric
@attribute FIXED_DEFECTS numeric
@attribute NUMBER_OF_COMMITS numeric
@attribute NUMBER_OF_AUTHORS numeric
@attribute IS_BUGGY {'True', 'False'}
@data
50,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,False
98,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,False
143,5,5,5.0,0,0,0.0,5,5,5.0,0,1,1,False
43,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,False
42,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,False
56,3,3,3.0,3,3,3.0,0,0,0.0,0,1,1,False
162,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,False
6523,6504,6504,6504.0,6348,6348,6348.0,156,156,156.0,0,1,1,False
153,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,False
43,1,1,1.0,1,1,1.0,0,0,0.0,0,1,1,False
41,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,False
400,407,397,135.66666666666666,7,4,2.3333333333333335,400,397,133.33333333333334,0,3,2,False
425,428,424,214.0,3,3,1.5,425,424,212.5,0,2,1,False
1041,1057,1029,528.5,16,16,8.0,1041,1029,520.5,0,2,1,False
92,92,92,92.0,0,0,0.0,92,92,92.0,0,1,1,False
355,357,357,178.5,2,2,1.0,359,357,179.5,0,2,1,False
123,123,123,123.0,0,0,0.0,123,123,123.0,0,1,1,False
105,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,False
105,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,False
92,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,False
101,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,False
45,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,False
299,12,8,6.0,2,2,1.0,10,8,5.0,0,2,1,False
32,1,1,1.0,1,1,1.0,0,0,0.0,0,1,1,False
111,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,False
35,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,False
85,4,4,4.0,0,0,0.0,4,4,4.0,0,1,1,False
27,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,False
28,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,False
36,7,5,3.5,0,0,0.0,7,5,3.5,0,2,1,False
574,11,8,5.5,3,3,1.5,8,5,4.0,0,2,1,False
67,3,3,3.0,0,0,0.0,3,3,3.0,0,1,1,False
29,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,False
72,8,8,8.0,0,0,0.0,8,8,8.0,0,1,1,False
37,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,False
51,52,51,26.0,1,1,0.5,51,51,25.5,0,2,1,False
31,31,31,31.0,0,0,0.0,31,31,31.0,0,1,1,False
